taxon_id,roc_auc,pr_auc,f1
13858,0.8277059420342722,0.317362288849427,0.2961510601591256
13695,0.9127271347844357,0.49614254772628585,0.4418184571973206
1907,0.9058600506913935,0.4758722381438826,0.4267624748109675
42069,0.8746538790935752,0.3921953118727556,0.367213879910664
20445,0.8437504002584448,0.3670071476678939,0.3257914522727879
44705,0.8252373043353346,0.31341964418620694,0.29918075617206685
4756,0.931143240479939,0.5361421364361116,0.4975580200611187
5200,0.8969897278860373,0.44636041284626626,0.40360500013096046
4512,0.8763875982933769,0.33995812729167973,0.31840028200349274
12038,0.9409874315008923,0.5586551906280778,0.5285626849142682
472766,0.9179695956065114,0.5565954281330872,0.518944007671243
5268,0.8657299458070552,0.4171524758100659,0.3742797043543983
5325,0.9321380316702014,0.5209256461047114,0.4562759115085521
19577,0.9485519569840895,0.5710865296080223,0.5097350214207959
7562,0.9247899676349698,0.4839263391766516,0.4292620133921301
10070,0.9477629920527153,0.6097392544793945,0.5401204140561845
5106,0.9213628091779043,0.4773568351388027,0.430020223631631
4665,0.9237654653559779,0.497036073813865,0.43630003820097807
11858,0.9316167999083073,0.5176594960778086,0.4787107891784202
1289484,0.9278595625097413,0.445680314612903,0.41299382511593985
12992,0.9339602741992635,0.5110612501677534,0.46104932993457587
4793,0.9536301646739794,0.5057154490309879,0.44461763043947816
13851,0.8960384027526166,0.40561155204001154,0.3770078744433583
13711,0.9067544979273959,0.47586980046533467,0.45901009484103145
559064,0.9339933959567002,0.5287001615242248,0.4691327919463215
20044,0.9256918726391508,0.4680916219844507,0.4242729158347026
16782,0.9613497122826546,0.6075575609182196,0.5578819190636618
10168,0.9645182378065613,0.5269915619185563,0.5050571730257618
12748,0.9527847233988714,0.6065390826120203,0.5179161416897298
4208,0.9127111367601287,0.5099735086582589,0.45532214875854066
9135,0.9632111859053201,0.6040187510098811,0.5399684798477038
144496,0.9432793324884565,0.4814619691549608,0.4240766174876768
43794,0.9603165684650845,0.5884382472452004,0.5349361495182098
17871,0.9493484784409645,0.573598212599029,0.4873053183034405
10373,0.9598778396507341,0.559187859502618,0.5117113867503089
559070,0.928440656052272,0.4719611744422312,0.4464775752059199
13000,0.9464136333771911,0.6397040480421118,0.5516222100109844
14823,0.9629562569778525,0.5893750978799872,0.5302223097562081
6638,0.939218362240147,0.5468511168184873,0.48391355163769834
145304,0.9570434481725888,0.5355971519872581,0.47617126943279275
41663,0.9632249706681695,0.5370754513274896,0.5008985404845623
11970,0.9620272912496024,0.5152197274259891,0.45855609332340536
145300,0.8986863953770351,0.36499169941539444,0.3310165942940694
14824,0.9486423400988009,0.522956800090406,0.47074527076106454
10243,0.9649378539096608,0.5361536173866149,0.5099767071742027
42223,0.9622145111816078,0.658275990920283,0.5767554145182403
792977,0.9518910920950141,0.4986282112207171,0.45847701269939345
4765,0.9468501297687724,0.5905146188539041,0.5562415662815087
19975,0.9200152544727007,0.4003284297777309,0.33773005791773986
7278,0.9532272263700656,0.566065971419994,0.5147939880434478
micro,0.9297640483351429,0.4965680932006216,0.45701921693357833
macro,0.9280049016284908,0.5053357826888801,0.4572910029917757
